Number of Points: 10201
.000 , 1.000 , 0.000
0.038 , -0.093 , 0.100 , 1.000 , 0.000 , 0.020
-0.071 , -0.070 , 0.200 , 1.000 , 0.000 , 0.040
-0.092 , 0.040 , 0.300 , 0.000 , 1.000 , 0.060
0.002 , 0.100 , 0.400 , 0.000 , 1.000 , 0.080
0.093 , 0.036 , 0.500 , 0.000 , 1.000 , 0.100
0.069 , -0.073 , 0.600 , 1.000 , 0.000 , 0.120
-0.042 , -0.091 , 0.700 , 1.000 , 0.000 , 0.140
-0.100 , 0.004 , 0.800 , 0.000 , 1.000 , 0.160
-0.034 , 0.094 , 0.900 , 0.000 , 1.000 , 0.180
0.074 , 0.067 , 1.000 , 0.000 , 1.000 , 0.200
0.090 , -0.043 , 1.100 , 1.000 , 0.000 , 0.220
-0.006 , -0.100 , 1.200 , 1.000 , 0.000 , 0.240
-0.095 , -0.032 , 1.300 , 1.000 , 0.000 , 0.260
-0.065 , 0.076 , 1.400 , 0.000 , 1.000 , 0.280
0.045 , 0.089 , 1.500 , 0.000 , 1.000 , 0.300
0.100 , -0.008 , 1.600 , 1.000 , 0.000 , 0.320
0.030 , -0.095 , 1.700 , 1.000 , 0.000 , 0.340
-0.077 , -0.064 , 1.800 , 1.000 , 0.000 , 0.360
-0.088 , 0.047 , 1.900 , 0.000 , 1.000 , 0.380
0.010 , 0.099 , 2.000 , 0.000 , 1.000 , 0.400
0.096 , 0.028 , 2.100 , 0.000 , 1.000 , 0.420
0.062 , -0.078 , 2.200 , 1.000 , 0.000 , 0.440
-0.049 , -0.087 , 2.300 , 1.000 , 0.000 , 0.460
-0.099 , 0.012 , 2.400 , 0.000 , 1.000 , 0.480
-0.026 , 0.096 , 2.500 , 0.000 , 1.000 , 0.500
0.079 , 0.061 , 2.600 , 0.000 , 1.000 , 0.520
0.086 , -0.051 , 2.700 , 1.000 , 0.000 , 0.540
-0.014 , -0.099 , 2.800 , 1.000 , 0.000 , 0.560
-0.097 , -0.024 , 2.900 , 1.000 , 0.000 , 0.580
-0.059 , 0.081 , 3.000 , 0.000 , 1.000 , 0.600
0.052 , 0.085 , 3.100 , 0.000 , 1.000 , 0.620
0.099 , -0.016 , 3.200 , 1.000 , 0.000 , 0.640
0.022 , -0.097 , 3.300 , 1.000 , 0.000 , 0.660
-0.082 , -0.057 , 3.400 , 1.000 , 0.000 , 0.680
-0.084 , 0.054 , 3.500 , 0.000 , 1.000 , 0.700
0.018 , 0.098 , 3.600 , 0.000 , 1.000 , 0.720
0.098 , 0.020 , 3.700 , 0.000 , 1.000 , 0.740
0.056 , -0.083 , 3.800 , 1.000 , 0.000 , 0.760
-0.056 , -0.083 , 3.900 , 1.000 , 0.000 , 0.780
-0.098 , 0.020 , 4.000 , 0.000 , 1.000 , 0.800
-0.018 , 0.098 , 4.100 , 0.000 , 1.000 , 0.820
0.084 , 0.054 , 4.200 , 0.000 , 1.000 , 0.840
0.082 , -0.057 , 4.300 , 1.000 , 0.000 , 0.860
-0.022 , -0.098 , 4.400 , 1.000 , 0.000 , 0.880
-0.099 , -0.016 , 4.500 , 1.000 , 0.000 , 0.900
-0.052 , 0.085 , 4.600 , 0.000 , 1.000 , 0.920
0.059 , 0.081 , 4.700 , 0.000 , 1.000 , 0.940
0.097 , -0.024 , 4.800 , 1.000 , 0.000 , 0.960
0.014 , -0.099 , 4.900 , 1.000 , 0.000 , 0.980
-0.086 , -0.051 , 5.000 , 1.000 , 0.000 , 1.000
0.100 , 0.000 , 0.000 , 0.000 , 1.000 , 0.000
0.038 , -0.093 , 0.100 , 1.000 , 0.000 , 0.020
-0.071 , -0.070 , 0.200 , 1.000 , 0.000 , 0.040
-0.092 , 0.040 , 0.300 , 0.000 , 1.000 , 0.060
0.002 , 0.100 , 0.400 , 0.000 , 1.000 , 0.080
0.093 , 0.036 , 0.500 , 0.000 , 1.000 , 0.100
0.069 , -0.073 , 0.600 , 1.000 , 0.000 , 0.120
-0.042 , -0.091 , 0.700 , 1.000 , 0.000 , 0.140
-0.100 , 0.004 , 0.800 , 0.000 , 1.000 , 0.160
-0.034 , 0.094 , 0.900 , 0.000 , 1.000 , 0.180
0.074 , 0.067 , 1.000 , 0.000 , 1.000 , 0.200
0.090 , -0.043 , 1.100 , 1.000 , 0.000 , 0.220
-0.006 , -0.100 , 1.200 , 1.000 , 0.000 , 0.240
-0.095 , -0.032 , 1.300 , 1.000 , 0.000 , 0.260
-0.065 , 0.076 , 1.400 , 0.000 , 1.000 , 0.280
